Original Domain,Typo Variant,Squatting Type,Category,Toxic Score,Spam Score,Formality Score,Scraped Content
ba.ac.uk,ba.acm.uk,keyboard,Authoritative,0.00,0.77,1.00,"Domain name acm.uk (acm) is for sale at BuyDomainNames.co.uk BUY DOMAIN NAMES .CO .UK Search Browse Categories Short Acronym Domains Domain leasing Just Sold Need Branding? Contact Us acm.uk + acm.co.uk These domains are still available to be yours! Contact Name Company E-mail Contact Number Offer Amount £ Submit Offer Congratulations! You are one step away from securing this premium domain name. Please fill in your contact details below and we will contact you shortly with the purchasing contract and payment instructions: Contact Name Company E-mail Contact Number I acknowledge that my request to purchase acm.uk is a legally binding agreement. We guarantee that the domain name shall be exclusively reserved for your purchase at the price of £0 (VAT is not applicable) provided transaction is closed within agreed time frame. Buy Now A sound investment for your online identity and brand success. Relocate to acm.uk for a prestigious Internet destination. Start using a well-recognized e-mail address you@acm.uk Immediately attract visitors searching for « acm » online. Stand out from the crowd with a premium, exceptional domain name. £ Make an offer £ We acquired this domain name in 2015. Before, it was occupied by it's previous owner since .. well, almost the dark ages of Internet. We possess skills and are keen to build websites ourselves ( buydomainnames.co.uk is one of them) & would love to develop all our domain portfolio instead of selling in a shell form. However, it's hard to seize everything but everything has a price.. so you can secure this opportunity. 2025 - Buydomainnames.co.uk Registrations T&C Privacy & Cookies"
ba.ac.uk,ba.ac.dev.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.ac.control.uk,keyboard,Authoritative,0.00,0.89,1.00,"Attention Required! | Cloudflare Please enable cookies. Sorry, you have been blocked You are unable to access brandable.uk Why have I been blocked? This website is using a security service to protect itself from online attacks. The action you just performed triggered the security solution. There are several actions that could trigger this block including submitting a certain word or phrase, a SQL command or malformed data. What can I do to resolve this? You can email the site owner to let them know you were blocked. Please include what you were doing when this page came up and the Cloudflare Ray ID found at the bottom of this page. Cloudflare Ray ID: 93b9e59c6899b5fa • Your IP: Click to reveal 2a02:a311:43ff:3100:b950:ab2f:a370:f110 • Performance & security by Cloudflare"
ba.ac.uk,ba.ac.app.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.qac.uk,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
ba.ac.uk,ba.ac.ph,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.ac.resources.uk,keyboard,Authoritative,0.00,0.89,1.00,"Attention Required! | Cloudflare Please enable cookies. Sorry, you have been blocked You are unable to access brandable.uk Why have I been blocked? This website is using a security service to protect itself from online attacks. The action you just performed triggered the security solution. There are several actions that could trigger this block including submitting a certain word or phrase, a SQL command or malformed data. What can I do to resolve this? You can email the site owner to let them know you were blocked. Please include what you were doing when this page came up and the Cloudflare Ray ID found at the bottom of this page. Cloudflare Ray ID: 93b9e5f4b9797dc4 • Your IP: Click to reveal 2a02:a311:43ff:3100:b950:ab2f:a370:f110 • Performance & security by Cloudflare"
ba.ac.uk,ba.arc.uk,keyboard,Other,0.00,0.94,1.00,ARC After Image Pamela Izzard Jane Thorburn Joy It's Nina Terms and Conditions of use
ba.ac.uk,ba.auc.uk,keyboard,Authoritative,0.00,0.76,1.00,"Domain name auc.uk (auc) is for sale at BuyDomainNames.co.uk BUY DOMAIN NAMES .CO .UK Search Browse Categories Short Acronym Domains Domain leasing Just Sold Need Branding? Contact Us auc.uk This domain is still available to be yours! Contact Name Company E-mail Contact Number Offer Amount £ Submit Offer Congratulations! You are one step away from securing this premium domain name. Please fill in your contact details below and we will contact you shortly with the purchasing contract and payment instructions: Contact Name Company E-mail Contact Number I acknowledge that my request to purchase auc.uk is a legally binding agreement. We guarantee that the domain name shall be exclusively reserved for your purchase at the price of £0 (VAT is not applicable) provided transaction is closed within agreed time frame. Buy Now A sound investment for your online identity and brand success. Relocate to auc.uk for a prestigious Internet destination. Start using a well-recognized e-mail address you@auc.uk Immediately attract visitors searching for « auc » online. Stand out from the crowd with a premium, exceptional domain name. £ Make an offer £ We acquired this domain name in 2019. Before, it was occupied by it's previous owner since .. well, almost the dark ages of Internet. We possess skills and are keen to build websites ourselves ( buydomainnames.co.uk is one of them) & would love to develop all our domain portfolio instead of selling in a shell form. However, it's hard to seize everything but everything has a price.. so you can secure this opportunity. 2025 - Buydomainnames.co.uk Registrations T&C Privacy & Cookies"
ba.ac.uk,ba.acj.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.ac.cz,keyboard,No content,0.00,0.94,0.98,Aksamit Consulting Coming soon.
ba.ac.uk,ba.ac.admin.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.ac.signup.uk,keyboard,Other,0.00,0.93,1.00,Just a moment... Enable JavaScript and cookies to continue
ba.ac.uk,ba.ac.mobile.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.ac.directory.uk,keyboard,Ad parking,0.00,0.85,0.99,"Web Hosting, Reseller Hosting & Domain Names from Heart Internet ba.ac.directory.uk This domain has been registered by Heart Internet if you are the owner of this domain please login Web Hosting Unlimited web hosting packed full of great hosting features, from only £2.49 per month. Find out more about our unlimited web hosting Reseller Hosting Make money selling unlimited websites, domain names and more with our white label reseller hosting package Domain Names Great value domain names from only £2.79 per year. Already have a domain? Transfer in your domain for free. Dedicated Servers Get your own dedicated server, perfect for even the most demanding of websites. From only £79.99 per month. Sponsored links Reseller Web Hosting The UK's Best Reseller Package Host Unlimited Domains &  Websites Own Branded Control Panel Unlimited Bandwidth Generic SSL & Name Servers Real Time Control & No Contract Create Your Own Hosting Packages HostPay - Hosting Automation £30 Google AdWords Voucher Web Hosting No space or data limits Unlimited email Unlimited databases Multi-site hosting 24x7 UK support UK data centres Smartphone control panel Instant activation"
ba.ac.uk,ba.ac.analytics.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.acr.uk,keyboard,Crawl error,0.00,0.00,0.00,
ba.ac.uk,ba.kac.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.ac.img.uk,keyboard,Other,0.00,0.93,1.00,Just a moment... Enable JavaScript and cookies to continue
ba.ac.uk,ba.ac.temp.uk,keyboard,Crawl error,0.00,0.00,0.00,
ba.ac.uk,ba.ac.svn.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.acu.uk,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
ba.ac.uk,ba.ac.docs.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.awc.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.ahc.uk,keyboard,Authoritative,0.00,0.89,1.00,"Attention Required! | Cloudflare Please enable cookies. Sorry, you have been blocked You are unable to access brandable.uk Why have I been blocked? This website is using a security service to protect itself from online attacks. The action you just performed triggered the security solution. There are several actions that could trigger this block including submitting a certain word or phrase, a SQL command or malformed data. What can I do to resolve this? You can email the site owner to let them know you were blocked. Please include what you were doing when this page came up and the Cloudflare Ray ID found at the bottom of this page. Cloudflare Ray ID: 93b9e7f18d8ac047 • Your IP: Click to reveal 2a02:a311:43ff:3100:b950:ab2f:a370:f110 • Performance & security by Cloudflare"
ba.ac.uk,ba.alc.uk,keyboard,Authoritative,0.00,0.89,1.00,"Attention Required! | Cloudflare Please enable cookies. Sorry, you have been blocked You are unable to access brandable.uk Why have I been blocked? This website is using a security service to protect itself from online attacks. The action you just performed triggered the security solution. There are several actions that could trigger this block including submitting a certain word or phrase, a SQL command or malformed data. What can I do to resolve this? You can email the site owner to let them know you were blocked. Please include what you were doing when this page came up and the Cloudflare Ray ID found at the bottom of this page. Cloudflare Ray ID: 93b9e80a7b87eebb • Your IP: Click to reveal 2a02:a311:43ff:3100:b950:ab2f:a370:f110 • Performance & security by Cloudflare"
ba.ac.uk,ba.ac.sql.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.qc.uk,keyboard,Other,0.00,0.93,0.99,ANY-Web You need to enable JavaScript to run this app.
ba.ac.uk,ba.ac.pricing.uk,keyboard,Other,0.00,0.88,1.00,0370 755 5088 easyspace.com Support Control Panel
ba.ac.uk,ba.pac.uk,keyboard,Authoritative,0.00,0.76,0.96,"PAC :: Porting Authorisation Codes – Just another WordPress site Skip to content PAC :: Porting Authorisation Codes Main Menu Hello world! 1 Comment / Uncategorised / By PacMan Welcome to WordPress. This is your first post. Edit or delete it, then start writing! Search for: Recent Posts Hello world! Recent Comments A WordPress Commenter on Hello world! Copyright © 2025 PAC :: Porting Authorisation Codes | Powered by Astra WordPress Theme"
ba.ac.uk,ba.fac.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.ac.webmail.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.ac.club,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.ac.helpdesk.uk,keyboard,Crawl error,0.00,0.00,0.00,
ba.ac.uk,ba.apc.uk,keyboard,Ad parking,0.00,0.88,0.88,"APC Overnight - Nationwide next day delivery Menu Home Sending a Parcel Receiving a Parcel Contact Us News About Careers Home Sending a Parcel Products Specialist Services International Service Timed Deliveries Opening an Account Packaging Advice Terms & Conditions of Carriage Frequently Asked Questions Receiving a Parcel Reschedule Delivery With APC Choice Parcel Tracking With APC Pinpoint Frequently Asked Questions Contact Us Sales Enquiry Customer Service Enquiry Find Your Local APC Depot Depot Membership Enquiry How are we Driving News Articles About Awards Corporate Social Responsibility History Team Careers Privacy policy Cookies Parcel Tracking With APC Pinpoint Reschedule Delivery With APC Choice Find Your Local APC Depot Send via APC Direct - pay online The APC Network Celebrating 30 Years of Delivery Excellence We are the UK's largest parcel delivery network with over 100 independent, entrepreneurial delivery and collection specialists. We have been providing excellent service to our many SME customers since 1994. Watch our video below which shares the experience of two member businesses of The APC Depot network - see what makes our network so unique Video production by Slinky Productions Tweets News 2nd May 25 Jarrolds Logistics invests for the future with new site to support strong business growth Read more... Call us on 0800 37 37 37 APC Overnight - Nationwide Next Day Delivery Specialising in timed deliveries, giving you flexible options for urgent packages. Call on: 0800 37 37 37 About Awards Corporate Social Responsibility History Team Sending a Parcel Products Specialist Services International Service Timed Deliveries Opening an Account Packaging Advice Terms & Conditions of Carriage Frequently Asked Questions Receiving a Parcel Reschedule Delivery With APC Choice Parcel Tracking With APC Pinpoint Frequently Asked Questions Contact Us Sales Enquiry Customer Service Enquiry Find Your Local APC Depot Depot Membership Enquiry How are we Driving © 2025 APC Overnight - Nationwide Next Day Delivery Privacy policy Cookies The Alternative Parcels Company Limited, National Sortation Centre, Blakeney Way, Kingswood Lakeside, Cannock, Staffordshire, WS11 8LD Registered in England and Wales No. 2855735 - VAT Registration No. 367 0955 67"
ba.ac.uk,ba.ac.localhost.uk,keyboard,Authoritative,0.00,0.89,1.00,"Attention Required! | Cloudflare Please enable cookies. Sorry, you have been blocked You are unable to access brandable.uk Why have I been blocked? This website is using a security service to protect itself from online attacks. The action you just performed triggered the security solution. There are several actions that could trigger this block including submitting a certain word or phrase, a SQL command or malformed data. What can I do to resolve this? You can email the site owner to let them know you were blocked. Please include what you were doing when this page came up and the Cloudflare Ray ID found at the bottom of this page. Cloudflare Ray ID: 93b9e920390e3bc6 • Your IP: Click to reveal 2a02:a311:43ff:3100:b950:ab2f:a370:f110 • Performance & security by Cloudflare"
ba.ac.uk,ba.act.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.ac.server.uk,keyboard,Ad parking,0.00,0.85,0.99,"Web Hosting, Reseller Hosting & Domain Names from Heart Internet ba.ac.server.uk This domain has been registered by Heart Internet if you are the owner of this domain please login Web Hosting Unlimited web hosting packed full of great hosting features, from only £2.49 per month. Find out more about our unlimited web hosting Reseller Hosting Make money selling unlimited websites, domain names and more with our white label reseller hosting package Domain Names Great value domain names from only £2.79 per year. Already have a domain? Transfer in your domain for free. Dedicated Servers Get your own dedicated server, perfect for even the most demanding of websites. From only £79.99 per month. Sponsored links Reseller Web Hosting The UK's Best Reseller Package Host Unlimited Domains &  Websites Own Branded Control Panel Unlimited Bandwidth Generic SSL & Name Servers Real Time Control & No Contract Create Your Own Hosting Packages HostPay - Hosting Automation £30 Google AdWords Voucher Web Hosting No space or data limits Unlimited email Unlimited databases Multi-site hosting 24x7 UK support UK data centres Smartphone control panel Instant activation"
ba.ac.uk,ba.ac.support,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
ba.ac.uk,ba.ac.my.uk,keyboard,Other,0.00,0.93,1.00,Just a moment... Enable JavaScript and cookies to continue
ba.ac.uk,ba.ac.press.uk,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
ba.ac.uk,ba.ac.payments.uk,keyboard,Other,0.00,0.65,0.99,payments.uk payments.uk
ba.ac.uk,ba.ac.doctor,keyboard,For sale,0.00,0.67,0.99,"Pure Comfort Heating & Air Conditioning Pure Comfort Heating & Air Conditioning – Heating & Cooling – Sales – Service A bright idea, coming soon WordPress.com Build a website. Sell something. Blog. And so much more. Log in Start a website"
ba.ac.uk,ba.aco.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.av.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.sac.uk,keyboard,Authoritative,0.00,0.89,1.00,"Attention Required! | Cloudflare Please enable cookies. Sorry, you have been blocked You are unable to access brandable.uk Why have I been blocked? This website is using a security service to protect itself from online attacks. The action you just performed triggered the security solution. There are several actions that could trigger this block including submitting a certain word or phrase, a SQL command or malformed data. What can I do to resolve this? You can email the site owner to let them know you were blocked. Please include what you were doing when this page came up and the Cloudflare Ray ID found at the bottom of this page. Cloudflare Ray ID: 93b9e9eb2c68ecb8 • Your IP: Click to reveal 2a02:a311:43ff:3100:b950:ab2f:a370:f110 • Performance & security by Cloudflare"
ba.ac.uk,ba.ac.checkout.uk,keyboard,Ad parking,0.00,0.62,0.99,"Checkout.uk - A premium domain name still available checkout.uk Coming soon.. meanwhile, reach us at d@checkout.uk"
ba.ac.uk,ba.ac.th,keyboard,Crawl error,0.00,0.00,0.00,
ba.ac.uk,ba.ab.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.acw.uk,keyboard,Crawl error,0.00,0.00,0.00,
ba.ac.uk,ba.ac.en.uk,keyboard,Other,0.00,0.93,0.99,ANY-Web You need to enable JavaScript to run this app.
ba.ac.uk,ba.ac.law,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.ac.tracking.uk,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
ba.ac.uk,ba.ac.www.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.mac.uk,keyboard,Crawl error,0.00,0.00,0.00,
ba.ac.uk,ba.ac.mysql.uk,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
ba.ac.uk,ba.ac.billing.uk,keyboard,Hit stealing,0.00,0.94,0.98,Redirecting... Redirecting...
ba.ac.uk,ba.ac.consulting,keyboard,Other,0.01,0.87,0.84,porkbun.com | parked domain Parked on the Bun! ac.consulting has been registered at Porkbun but the owner has not put up a site yet. Visit again soon to see what amazing website they decide to build. Find your own great domain: Submit
ba.ac.uk,ba.ac.jobs,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
ba.ac.uk,baaac.uk,keyboard,Ad parking,0.00,0.78,0.95,"Beacon Autism & ADHD Clinic | Expert Care in Stafford UK Beacon Autism and ADHD Clinic offers a comprehensive and multidisciplinary approach for the assessment and management of Attention Deficit & Hyperactivity Disorder (ADHD), Autism Spectrum Disorder (ASD) for children and young people up to the age of 19 th birthday. Our team has specialists with interest in ADHD and ASD in this age group. Google Reviews Quick Links About us Appointment FAQ’s Join Us Contact Us Services ADHD assessment Autism spectrum disorder Sleep Problems Working Hours Monday : 10.00 – 18.00 Tuesday : 10.00 – 18.00 Wednesday : 10.00 – 18.00 Thursday : 10.00 – 18.00 Friday : 10.00 – 18.00 Saturday : 10.00 – 18.00 Sunday – Closed Copyright © 2025 Beacon Autism and ADHD Clinic (Beacon Autism and ADHD Clinic)"
ba.ac.uk,ba.acz.uk,keyboard,Authoritative,0.00,0.89,1.00,"Attention Required! | Cloudflare Please enable cookies. Sorry, you have been blocked You are unable to access brandable.uk Why have I been blocked? This website is using a security service to protect itself from online attacks. The action you just performed triggered the security solution. There are several actions that could trigger this block including submitting a certain word or phrase, a SQL command or malformed data. What can I do to resolve this? You can email the site owner to let them know you were blocked. Please include what you were doing when this page came up and the Cloudflare Ray ID found at the bottom of this page. Cloudflare Ray ID: 93b9eb694860b2de • Your IP: Click to reveal 2a02:a311:43ff:3100:b950:ab2f:a370:f110 • Performance & security by Cloudflare"
ba.ac.uk,ba.ac.demo.uk,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
ba.ac.uk,ba.ac.dev,keyboard,Crawl error,0.00,0.00,0.00,
ba.ac.uk,bam.ac.uk,keyboard,Crawl error,0.00,0.00,0.00,
ba.ac.uk,ba.wac.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.anc.uk,keyboard,Authoritative,0.00,0.89,1.00,"Attention Required! | Cloudflare Please enable cookies. Sorry, you have been blocked You are unable to access brandable.uk Why have I been blocked? This website is using a security service to protect itself from online attacks. The action you just performed triggered the security solution. There are several actions that could trigger this block including submitting a certain word or phrase, a SQL command or malformed data. What can I do to resolve this? You can email the site owner to let them know you were blocked. Please include what you were doing when this page came up and the Cloudflare Ray ID found at the bottom of this page. Cloudflare Ray ID: 93b9ebba8c96ecbe • Your IP: Click to reveal 2a02:a311:43ff:3100:b950:ab2f:a370:f110 • Performance & security by Cloudflare"
ba.ac.uk,bsa.ac.uk,keyboard,Crawl error,0.00,0.00,0.00,
ba.ac.uk,ba.ac.mail.uk,keyboard,Authoritative,0.00,0.82,0.99,"Login - mail.co.uk - more security, reliability and comfort No ads. No spam. Just e-mail. Please enable Javascript to use mail.co.uk . Please enable cookies in order to use mail.co.uk . E-mail / Login: Password: Sign up now Forgotten password - more security, reliability and comfort Your browser is no longer supported for security reasons! You are using an outdated browser that does not support modern features that our webmail service requires. In addition, your browser no longer receives security updates. We therefore strongly recommend that you update or switch to a modern browser such as Google Chrome, Mozilla Firefox or Microsoft Edge. Firefox Mozilla Foundation Chrome Google Edge Microsoft Help Server-status Cancel contract Legal Notice All rights reserved. ©2015-2025 by mail.de GmbH"
ba.ac.uk,ba.ac.biz,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.ac.team.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.aic.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.ac.cloud.uk,keyboard,Crawl error,0.00,0.00,0.00,
ba.ac.uk,bpa.ac.uk,keyboard,Crawl error,0.00,0.00,0.00,
ba.ac.uk,ba.ac.lists.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,boa.ac.uk,keyboard,Crawl error,0.00,0.00,0.00,
ba.ac.uk,ba.ac.intranet.uk,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
ba.ac.uk,ba.iac.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.azc.uk,keyboard,Authoritative,0.00,0.89,1.00,"Attention Required! | Cloudflare Please enable cookies. Sorry, you have been blocked You are unable to access brandable.uk Why have I been blocked? This website is using a security service to protect itself from online attacks. The action you just performed triggered the security solution. There are several actions that could trigger this block including submitting a certain word or phrase, a SQL command or malformed data. What can I do to resolve this? You can email the site owner to let them know you were blocked. Please include what you were doing when this page came up and the Cloudflare Ray ID found at the bottom of this page. Cloudflare Ray ID: 93b9ed38083d34cd • Your IP: Click to reveal 2a02:a311:43ff:3100:b950:ab2f:a370:f110 • Performance & security by Cloudflare"
ba.ac.uk,ba.ac.cdn.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.jac.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.ac.test.uk,keyboard,Ad parking,0.00,0.69,0.98,[EN]: test.uk - test test.uk The domain name test.uk is for sale! CLICK HERE FOR MORE INFORMATION
ba.ac.uk,ba.ac.account.uk,keyboard,Crawl error,0.00,0.00,0.00,
ba.ac.uk,ba.ac.stats.uk,keyboard,Crawl error,0.00,0.00,0.00,
ba.ac.uk,ba.acn.uk,keyboard,Crawl error,0.05,0.89,0.99,403 Forbidden 403 Forbidden nginx
ba.ac.uk,ba.ach.uk,keyboard,Authoritative,0.00,0.89,1.00,"Attention Required! | Cloudflare Please enable cookies. Sorry, you have been blocked You are unable to access brandable.uk Why have I been blocked? This website is using a security service to protect itself from online attacks. The action you just performed triggered the security solution. There are several actions that could trigger this block including submitting a certain word or phrase, a SQL command or malformed data. What can I do to resolve this? You can email the site owner to let them know you were blocked. Please include what you were doing when this page came up and the Cloudflare Ray ID found at the bottom of this page. Cloudflare Ray ID: 93b9edfa8e50020f • Your IP: Click to reveal 2a02:a311:43ff:3100:b950:ab2f:a370:f110 • Performance & security by Cloudflare"
ba.ac.uk,ba.ac.api.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.ac.partners.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.ac.wap.uk,keyboard,Crawl error,0.00,0.00,0.00,
ba.ac.uk,ba.ac.ee,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
