Original Domain,Typo Variant,Squatting Type,Category,Toxic Score,Spam Score,Formality Score,Scraped Content
tuwien.ac.at,tuwien.ic.at,keyboard,Authoritative,0.00,0.58,1.00,Domainpark - Bitte den Rasen nicht betreten. Vielen Dank! Diese Domain wurde geparkt. Diese Domain ist zur Zeit keinem Server oder Webhosting zugewiesen. Sie kÃ¶nnen die Zuordnung der Domain in Ihrem Kundenbereich (CCP) verwalten.
tuwien.ac.at,tuwien.ajc.at,keyboard,Authoritative,0.00,0.92,0.94,Diese Webseite befindet sich im Aufbau DIESE SEITE BEFINDET SICH IM AUFBAU. THIS SITE IS UNDER CONSTRUCTION.
tuwien.ac.at,tuwien.ac.proxy.at,keyboard,No content,0.00,0.00,0.00,
tuwien.ac.at,tuwien.ac.reports.at,keyboard,Crawl error,0.00,0.00,0.00,
tuwien.ac.at,tuwien.ac.pricing.at,keyboard,Crawl error,0.00,0.00,0.00,
tuwien.ac.at,tuwien.ac.imap.at,keyboard,Crawl error,0.00,0.00,0.00,
tuwien.ac.at,tuwien.ac.consulting,keyboard,Other,0.01,0.87,0.84,porkbun.com | parked domain Parked on the Bun! ac.consulting has been registered at Porkbun but the owner has not put up a site yet. Visit again soon to see what amazing website they decide to build. Find your own great domain: Submit
tuwien.ac.at,tuwien.ac.si,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
tuwien.ac.at,tuwien.ac.stats.at,keyboard,Crawl error,0.00,0.00,0.00,
tuwien.ac.at,tuwien.ac.ph,keyboard,No content,0.00,0.00,0.00,
tuwien.ac.at,tuwien.ac.calendar.at,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
tuwien.ac.at,tuwien.ac.preview.at,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
tuwien.ac.at,tuwien.ac.svn.at,keyboard,Authoritative,0.00,0.92,0.96,404 Not Found Not Found The requested URL was not found on this server.
tuwien.ac.at,tuwien.ac.law,keyboard,No content,0.00,0.00,0.00,
tuwien.ac.at,tuwien.ac.orders.at,keyboard,Crawl error,0.00,0.00,0.00,
tuwien.ac.at,tuwien.ac.payments.at,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
tuwien.ac.at,tuwien.ac.tm,keyboard,Ad parking,0.00,0.58,0.99,"ac.tm - This is a premium name ac.tm This is a premium name I want it! Imagine... you@ac.tm www.ac.tm Get an .tm domain! Copyright © NIC.TM. All rights reserved. Powered by Domains.io LTD, UK."
tuwien.ac.at,tuwien.ac.account.at,keyboard,Authoritative,0.00,0.92,0.96,404 Not Found Not Found The requested URL was not found on this server.
tuwien.ac.at,tuwien.ac.old.at,keyboard,Crawl error,0.00,0.00,0.00,
tuwien.ac.at,tuwien.ac.forums.at,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
tuwien.ac.at,tuwien.ac.server.at,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
tuwien.ac.at,tuwien.ac.projects.at,keyboard,Adult content,0.00,0.74,1.00,"AUSTRALIEN ::: 2006/2007 ::: Home AUSTRALIEN 2006 / 2007 Home Sechs Monate mit dem eigenen Wohnmobil in Down Under 2006/07 Hier geht es zu unserer Reisehomepage Die K-Tiere: Kängurus und Kakadus, Krokodile und Kokaburras Die schönsten Wanderungen: Rote Felsen und weiße Sanddünen, Termitenhügel und Regenwälder Spezialtipps : 
	      Billabongs und heiße Quellen, Opale und Felsmalereien Fotos©: Uschi Christl - Bruno Gilligsberger JavaScript / CSS ist deaktiviert! Alle Untermen�s werden angezeigt! Home Reiseberichte Western Australia 1 Western Australia 2 Western Australia 3 Northern Territory 1 Northern Territory 2 Northern Territory 3 Queensland 1 Queensland 2 Queensland 3 New South Wales 1 New South Wales 2 Victoria 1 Victoria 2 South Australia 1 South Australia 2 Northern Territory 4 Northern Territory 5 Western Australia 4 Western Australia 5 Wandern Überblick Western Australia Northern Territory Queensland New South Wales Victoria South Australia Schwimmen Flüsse und Seen Das Meer Heiße Quellen Fakten Die Reisenden Fahrzeug Links Reiseroute Reiseverlauf Bilder AQWA Pinnacles Karijini NP 1 Geiki Gorge NP Tunnel Creek El Questro Keep River NP Litchfield NP Kakadu NP 1 Kakadu NP 2 West MacDonnel NP Devil's Marbles Broadwater State Forest Blackdown Tableland NP Carnavon NP Myall Lakes NP Wilsons Promontory NP The Grampians NP Coober Pedy Gregory NP Karijini NP 2 Sandy Cape Fahrzeugumbau Das Wohnmobil Suche"
tuwien.ac.at,tuwien.ac.update.at,keyboard,No content,0.00,0.00,0.00,
tuwien.ac.at,tuwien.aa.at,keyboard,Authoritative,0.00,0.92,0.96,404 Not Found Not Found The requested URL was not found on this server.
tuwien.ac.at,tuwien.ac.support,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
tuwien.ac.at,tuwien.ac.billing.at,keyboard,Authoritative,0.00,0.71,1.00,"easyname | Domain geparkt Domain geparkt Diese Domain wird von easyname.com verwaltet. Solltest du der Inhaber dieser Domain sein, kannst du diese im easyname Controlpanel verwalten. Dies ist ein Service von easyname GmbH und wird im Auftrag des Domaininhabers betrieben."
tuwien.ac.at,tuwien.ac.wap.at,keyboard,Other,0.00,0.58,0.99,wap.at 2025 Copyright. All Rights Reserved Privacy Policy
tuwien.ac.at,tuwien.ac.sql.at,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
tuwien.ac.at,tuwien.ac.webdisk.at,keyboard,Ad parking,0.00,0.81,0.74,"Parallels Confixx © 2009 Parallels GmbH Einloggen ins Parallels Confixx Geben Sie Ihren Login und Ihr Passwort ein und klicken Sie dann auf ""Einloggen"". Login: Passwort: Einloggen Haben Sie Ihr Passwort vergessen? Wenn Sie Ihr Passwort vergessen haben, wird Confixx versuchen Ihnen zu helfen, indem es Ihnen ein neues Passwort per Email zuschickt. Passwort holen"
tuwien.ac.at,tuwien.acl.at,keyboard,Crawl error,0.00,0.00,0.00,
tuwien.ac.at,tuwien.ac.press.at,keyboard,Other,0.00,0.93,0.97,You need a browser with frame support!
tuwien.ac.at,tuwien.ac.doctor,keyboard,For sale,0.00,0.67,0.99,"Pure Comfort Heating & Air Conditioning Pure Comfort Heating & Air Conditioning – Heating & Cooling – Sales – Service A bright idea, coming soon WordPress.com Build a website. Sell something. Blog. And so much more. Log in Start a website"
tuwien.ac.at,tuwien.ac.at,keyboard,Crawl error,0.00,0.00,0.00,
tuwien.ac.at,tuwien.ac.kg,keyboard,Crawl error,0.00,0.00,0.00,
tuwien.ac.at,tuwien.gac.at,keyboard,Authoritative,0.00,0.71,1.00,"easyname | Domain geparkt Domain geparkt Diese Domain wird von easyname.com verwaltet. Solltest du der Inhaber dieser Domain sein, kannst du diese im easyname Controlpanel verwalten. Dies ist ein Service von easyname GmbH und wird im Auftrag des Domaininhabers betrieben."
tuwien.ac.at,tuwien.ca.at,keyboard,Authoritative,0.00,0.70,1.00,".at-Domain Parked Die Domain ist geparkt Diese Domain wurde erfolgreich registriert und bis zur weiteren Verwendung bei nic.at geparkt. Sie interessieren sich ebenfalls fÃ¼r eine .at-Domain? Dann nutzen Sie gerne unseren Domainfinder! Geben Sie einfach Ihre Wunschdomain ein.
				Ist die Domain noch frei, kÃ¶nnen Sie mit dem .at Partnerfinder den passenden Provider finden und die Domain
				gleich registrieren. Wunschdomain nicht mehr frei? Auch das ist kein Problem â lassen Sie sich von den VorschlÃ¤gen unseres Domainfinders inspirieren! Zum Domainfinder Mehr Sicherheit fÃ¼r Ihre Domain! Mit unseren Security-Produkten wie DNSSEC, Security Lock und unserem Anycast-Service RcodeZero
				DNS kÃ¶nnen Sie Ihre Domain absichern und damit etwa vor Missbrauch schÃ¼tzen und die
				uneingeschrÃ¤nkte Erreichbarkeit Ihrer Website gewÃ¤hrleisten. Weitere
				Informationen Eine Information von nic.at â der offiziellen Domainvergabestelle fÃ¼r .at-Domains. Mehr Informationen finden Sie auf unserer Website: www.nic.at Dies ist ein Service der nic.at GmbH und wird
				im Auftrag des Domaininhabers betrieben."
tuwien.ac.at,tuwien.ac.staging.at,keyboard,Crawl error,0.00,0.00,0.00,
tuwien.ac.at,tuwien.qc.at,keyboard,Crawl error,0.00,0.00,0.00,
tuwien.ac.at,tuwien.as.at,keyboard,Authoritative,0.00,0.70,1.00,".at-Domain Parked Die Domain ist geparkt Diese Domain wurde erfolgreich registriert und bis zur weiteren Verwendung bei nic.at geparkt. Sie interessieren sich ebenfalls fÃ¼r eine .at-Domain? Dann nutzen Sie gerne unseren Domainfinder! Geben Sie einfach Ihre Wunschdomain ein.
				Ist die Domain noch frei, kÃ¶nnen Sie mit dem .at Partnerfinder den passenden Provider finden und die Domain
				gleich registrieren. Wunschdomain nicht mehr frei? Auch das ist kein Problem â lassen Sie sich von den VorschlÃ¤gen unseres Domainfinders inspirieren! Zum Domainfinder Mehr Sicherheit fÃ¼r Ihre Domain! Mit unseren Security-Produkten wie DNSSEC, Security Lock und unserem Anycast-Service RcodeZero
				DNS kÃ¶nnen Sie Ihre Domain absichern und damit etwa vor Missbrauch schÃ¼tzen und die
				uneingeschrÃ¤nkte Erreichbarkeit Ihrer Website gewÃ¤hrleisten. Weitere
				Informationen Eine Information von nic.at â der offiziellen Domainvergabestelle fÃ¼r .at-Domains. Mehr Informationen finden Sie auf unserer Website: www.nic.at Dies ist ein Service der nic.at GmbH und wird
				im Auftrag des Domaininhabers betrieben."
tuwien.ac.at,tuwien.ac.intranet.at,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
tuwien.ac.at,tuwien.ac.parts,keyboard,Other,0.00,0.84,0.98,Server under maintenance
tuwien.ac.at,tuwien.sac.at,keyboard,Authoritative,0.00,0.83,0.86,Froxlor Login Please log in to access your account. Username Password Login Forgot your password? © 2009-2025 by the froxlor team
tuwien.ac.at,tuwien.auc.at,keyboard,No content,0.00,0.00,0.00,
tuwien.ac.at,tuwien.ac.help.at,keyboard,Adult content,0.00,0.81,0.99,"Magazine & Zeitschriften online lesen | YUMPU News DE English Deutsch Français Español Português Italiano Român Nederlands Latina Dansk Svenska Norsk Magyar Bahasa Indonesia Türkçe Suomi Latvian Lithuanian český русский български العربية Unknown Einloggen bei YUMPU News Einloggen bei YUMPU Publishing CLOSE TESTE ADFREE Entdecken Produkte Zeitschriften lesen e-Paper erstellen Magazine ePaper erstellen Einloggen bei YUMPU News Einloggen bei YUMPU Publishing Finde deine Lieblingsmagazine! Top Magazine Alle Kategorien Auto & Mobilität Bauen & Wohnen Bildung & Wissen Computer & Technik Do It Yourself Eltern & Familie Essen & Trinken Fit & Gesund Fotografie & Kunst Hobbys & Outdoor Lifestyle für Ihn Lifestyle für Sie Musik Reisen & Tourismus Sport Stars & Unterhaltung Tiere & Haustiere TV, Film & Kino Wirtschaft & Finanzen Alle Magazine 1 2 3 4 5 Weiter Produkte FREE adFREE WEBKiosk APPKiosk PROKiosk Ressourcen Blog API Hilfe & Support Status sailtronic.de gtsl.de mypdf.me Unternehmen Kontaktieren Sie uns Karriere AGB Datenschutzerklärung Cookie-Richtlinien Cookie-Einstellungen Impressum AGB Datenschutzerklärung Cookie-Richtlinien Cookie-Einstellungen Impressum Sprache ändern Mit Liebe in der Schweiz gemacht © 2025                            Yumpu.com, alle Rechte vorbehalten Wählen Sie Ihre Sprache × Hauptsprachen Weitere Sprachen English Deutsch Français Italiano Español العربية български český Dansk Nederlands Suomi Magyar Bahasa Indonesia Latina Latvian Lithuanian Norsk Português Român русский Svenska Türkçe Unknown × Erledigt Wenn Sie diese Aktion ausführen, werden die Änderungen auf die Standardeinstellungen zurückgesetzt: Zurücksetzen Abbrechen Hurra! Ihre Datei wurde hochgeladen und ist bereit für die Veröffentlichung. Erfolgreich gespeichert! Leider ist etwas schief gelaufen!"
tuwien.ac.at,tuwien.ack.at,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
tuwien.ac.at,tuwien.ac.dev.at,keyboard,No content,0.00,0.00,0.00,
tuwien.ac.at,tuwien.ac.biz,keyboard,No content,0.00,0.00,0.00,
tuwien.ac.at,tuwien.ac.database.at,keyboard,Authoritative,0.00,0.92,0.94,Diese Webseite befindet sich im Aufbau DIESE SEITE BEFINDET SICH IM AUFBAU. THIS SITE IS UNDER CONSTRUCTION.
tuwien.ac.at,tuwien.yac.at,keyboard,Crawl error,0.00,0.00,0.00,
tuwien.ac.at,tuwien.ac.dev,keyboard,Crawl error,0.00,0.00,0.00,
tuwien.ac.at,tuwien.acz.at,keyboard,Other,0.00,0.93,0.90,Domain Details Page We're sorry but this app doesn't work properly without JavaScript enabled. Please enable it to continue.
tuwien.ac.at,tuwien.uac.at,keyboard,Crawl error,0.00,0.00,0.00,
tuwien.ac.at,tuwien.mac.at,keyboard,Authoritative,0.00,0.92,0.96,404 Not Found Not Found The requested URL was not found on this server.
tuwien.ac.at,tuwien.ac.jobs,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
tuwien.ac.at,tuwien.ac.images.at,keyboard,Authoritative,0.00,0.71,1.00,"easyname | Domain geparkt Domain geparkt Diese Domain wird von easyname.com verwaltet. Solltest du der Inhaber dieser Domain sein, kannst du diese im easyname Controlpanel verwalten. Dies ist ein Service von easyname GmbH und wird im Auftrag des Domaininhabers betrieben."
tuwien.ac.at,tuwien.ac.ee,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
tuwien.ac.at,tuwien.ac.cpanel.at,keyboard,Crawl error,0.00,0.00,0.00,
tuwien.ac.at,tuwien.ac.monitoring.at,keyboard,Crawl error,0.00,0.00,0.00,
tuwien.ac.at,tuwien.ac.status.at,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
tuwien.ac.at,tuwien.aqc.at,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
tuwien.ac.at,tuwien.ac.clients.at,keyboard,Crawl error,0.00,0.00,0.00,
tuwien.ac.at,tuwien.abc.at,keyboard,Ad parking,0.00,0.88,0.93,Web Server's Default Page You see this page because there is no Web site at this address.
tuwien.ac.at,tuwien.ac.community.at,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
tuwien.ac.at,tuwien.ac.info.at,keyboard,Ad parking,0.00,0.86,0.99,"info.at Internet GmbH – Domains und Hosting – Domainberatung – Consulting – SEO Menu Domains & Webhosting Preise & Bestellung Günstiges Webhosting SSL SSL Zertifikate bestellen FAQ Häufig gestellte Fragen .de Authcode .de Authinfo2 Code bestellen .tld Informationen Domaininformationen Webdesign Website Check Referenzen Portale Consulting Domainberatung Domainvermittlung Suchmaschinenoptimierung & Suchmaschinenmarketing (SEO & SEM) Das Unternehmen Geschäftsfelder Wunschdomain prüfen und bestellen: Viele Domains direkt vom Registrar ab € 2,50 pro Monat .at / .de / .ch / .eu / .nl / .it / .co.uk / .li / .uk / .be / .com / .net / .org … Wir haben das passende Hosting-Paket für Sie Wählen Sie Ihr individuelles Paket DOMAIN ONLY Ab €2,50 /Monat* Bestellen 1 Domain 0 GB Web Space 0 GB Mailspace 0 Mailboxen 1 Mail Weiterleitung Unlimited Subdomains Unlimited*** Traffic 0 MySQL Datenbanken STANDARD Ab €4,90 /Monat* Bestellen 1 Domain inkludiert** 1 GB Web Space 1 GB Mailspace 1 Mailbox 10 Mail Weiterleitungen Unlimited Subdomains Unlimited*** Traffic 1 MySQL Datenbanken PROFI Ab €6,90 /Monat* Bestellen 1 Domain inkludiert** 2 GB Web Space 2 GB Mailspace 5 Mailboxen 50 Mail Weiterleitungen Unlimited Subdomains Unlimited*** Traffic 2 MySQL Datenbank BUSINESS Ab €8,90 /Monat* Bestellen 1 Domain inkludiert** 5 GB Web Space 5 GB Mailspace Unlimited Mailboxen 100 Mail Weiterleitungen Unlimited Subdomains Unlimited*** Traffic 10 MySQL Datenbanken * Jährliche Verrechnung ** inkl. 1 Domain mit den Endungen: at, de, com, eu, be, biz, info.at, biz.at, net, org, info, ws *** FairUse Regelung Sie brauchen Hilfe? Rufen Sie an +43 (0) 662 82 22 28 Domains & Hosting Preise & Bestellung .DE Authcode TLD Informationen FAQ Webdesign Webdesign Webseiten Check Portale Referenzen Consulting Domainberatung Domainvermittlung Suchmaschinenoptimierung info.at internet GmbH Fasanweg 7 A-5071 Wals-Siezenheim Telefon: +43 (0) 662 82 22 28 E-Mail: office@info.at © info.at Internet GmbH AGB | Datenschutz | Impressum | Kontakt Scroll"
tuwien.ac.at,tuwien.ax.at,keyboard,Ad parking,0.00,0.81,0.74,"Parallels Confixx © 2009 Parallels GmbH Einloggen ins Parallels Confixx Geben Sie Ihren Login und Ihr Passwort ein und klicken Sie dann auf ""Einloggen"". Login: Passwort: Einloggen Haben Sie Ihr Passwort vergessen? Wenn Sie Ihr Passwort vergessen haben, wird Confixx versuchen Ihnen zu helfen, indem es Ihnen ein neues Passwort per Email zuschickt. Passwort holen"
tuwien.ac.at,tuwien.ac.new.at,keyboard,Crawl error,0.00,0.00,0.00,
tuwien.ac.at,tuwien.ac.metrics.at,keyboard,Other,0.00,0.93,0.90,Domain Details Page We're sorry but this app doesn't work properly without JavaScript enabled. Please enable it to continue.
tuwien.ac.at,tuwien.wac.at,keyboard,Authoritative,0.00,0.92,0.96,404 Not Found Not Found The requested URL was not found on this server.
tuwien.ac.at,tuwien.ac.cdn.at,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
ait.ac.at,ait.ajc.at,keyboard,Authoritative,0.00,0.92,0.94,Diese Webseite befindet sich im Aufbau DIESE SEITE BEFINDET SICH IM AUFBAU. THIS SITE IS UNDER CONSTRUCTION.
ait.ac.at,ait.uac.at,keyboard,Crawl error,0.00,0.00,0.00,
ait.ac.at,ait.ac.info.at,keyboard,Ad parking,0.00,0.86,0.99,"info.at Internet GmbH – Domains und Hosting – Domainberatung – Consulting – SEO Menu Domains & Webhosting Preise & Bestellung Günstiges Webhosting SSL SSL Zertifikate bestellen FAQ Häufig gestellte Fragen .de Authcode .de Authinfo2 Code bestellen .tld Informationen Domaininformationen Webdesign Website Check Referenzen Portale Consulting Domainberatung Domainvermittlung Suchmaschinenoptimierung & Suchmaschinenmarketing (SEO & SEM) Das Unternehmen Geschäftsfelder Wunschdomain prüfen und bestellen: Viele Domains direkt vom Registrar ab € 2,50 pro Monat .at / .de / .ch / .eu / .nl / .it / .co.uk / .li / .uk / .be / .com / .net / .org … Wir haben das passende Hosting-Paket für Sie Wählen Sie Ihr individuelles Paket DOMAIN ONLY Ab €2,50 /Monat* Bestellen 1 Domain 0 GB Web Space 0 GB Mailspace 0 Mailboxen 1 Mail Weiterleitung Unlimited Subdomains Unlimited*** Traffic 0 MySQL Datenbanken STANDARD Ab €4,90 /Monat* Bestellen 1 Domain inkludiert** 1 GB Web Space 1 GB Mailspace 1 Mailbox 10 Mail Weiterleitungen Unlimited Subdomains Unlimited*** Traffic 1 MySQL Datenbanken PROFI Ab €6,90 /Monat* Bestellen 1 Domain inkludiert** 2 GB Web Space 2 GB Mailspace 5 Mailboxen 50 Mail Weiterleitungen Unlimited Subdomains Unlimited*** Traffic 2 MySQL Datenbank BUSINESS Ab €8,90 /Monat* Bestellen 1 Domain inkludiert** 5 GB Web Space 5 GB Mailspace Unlimited Mailboxen 100 Mail Weiterleitungen Unlimited Subdomains Unlimited*** Traffic 10 MySQL Datenbanken * Jährliche Verrechnung ** inkl. 1 Domain mit den Endungen: at, de, com, eu, be, biz, info.at, biz.at, net, org, info, ws *** FairUse Regelung Sie brauchen Hilfe? Rufen Sie an +43 (0) 662 82 22 28 Domains & Hosting Preise & Bestellung .DE Authcode TLD Informationen FAQ Webdesign Webdesign Webseiten Check Portale Referenzen Consulting Domainberatung Domainvermittlung Suchmaschinenoptimierung info.at internet GmbH Fasanweg 7 A-5071 Wals-Siezenheim Telefon: +43 (0) 662 82 22 28 E-Mail: office@info.at © info.at Internet GmbH AGB | Datenschutz | Impressum | Kontakt Scroll"
ait.ac.at,ait.ac.stats.at,keyboard,Crawl error,0.00,0.00,0.00,
ait.ac.at,ait.acm.at,keyboard,Other,0.00,0.93,0.90,Domain Details Page We're sorry but this app doesn't work properly without JavaScript enabled. Please enable it to continue.
ait.ac.at,ait.ac.tm,keyboard,Ad parking,0.00,0.58,0.99,"ac.tm - This is a premium name ac.tm This is a premium name I want it! Imagine... you@ac.tm www.ac.tm Get an .tm domain! Copyright © NIC.TM. All rights reserved. Powered by Domains.io LTD, UK."
ait.ac.at,ait.ac.svn.at,keyboard,Authoritative,0.00,0.92,0.96,404 Not Found Not Found The requested URL was not found on this server.
ait.ac.at,ait.jac.at,keyboard,Other,0.00,0.93,0.90,Domain Details Page We're sorry but this app doesn't work properly without JavaScript enabled. Please enable it to continue.
ait.ac.at,ait.ac.dev,keyboard,Crawl error,0.00,0.00,0.00,
ait.ac.at,ait.wac.at,keyboard,Authoritative,0.00,0.92,0.96,404 Not Found Not Found The requested URL was not found on this server.
ait.ac.at,ait.ac.si,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
ait.ac.at,ait.ac.club,keyboard,No content,0.00,0.00,0.00,
ait.ac.at,ait.ac.at,keyboard,Crawl error,0.00,0.00,0.00,
ait.ac.at,ait.ac.rentals,keyboard,No content,0.00,0.00,0.00,
ait.ac.at,ait.ac.consulting,keyboard,Other,0.01,0.87,0.84,porkbun.com | parked domain Parked on the Bun! ac.consulting has been registered at Porkbun but the owner has not put up a site yet. Visit again soon to see what amazing website they decide to build. Find your own great domain: Submit
ait.ac.at,ait.aci.at,keyboard,Authoritative,0.00,0.92,0.96,404 Not Found Not Found The requested URL was not found on this server.
ait.ac.at,ait.ac.ee,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
ait.ac.at,ait.ac.ads.at,keyboard,Crawl error,0.05,0.89,0.99,403 Forbidden 403 Forbidden nginx
ait.ac.at,ait.ac.status.at,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
ait.ac.at,ait.ac.account.at,keyboard,Authoritative,0.00,0.92,0.96,404 Not Found Not Found The requested URL was not found on this server.
ait.ac.at,ait.ac.metrics.at,keyboard,Other,0.00,0.93,0.90,Domain Details Page We're sorry but this app doesn't work properly without JavaScript enabled. Please enable it to continue.
